type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
eltwise,,,,,,,,96,8,8,6144,0,0.108,56888
conv2d,PointWise,1,16,64,64,1,1,48,64,64,3145776,960,11.753,267657
conv2d,PointWise,1,56,32,32,1,1,88,32,32,5046360,5280,13.706,368186
conv2d,PointWise,1,512,2,2,1,1,512,2,2,1049088,264192,4.118,254756
conv2d,PointWise,1,48,18,18,1,1,80,18,18,1244240,4160,3.241,383906
eltwise,,,,,,,,96,8,8,6144,0,0.54,11377
eltwise,,,,,,,,96,8,8,6144,0,0.537,11441
eltwise,,,,,,,,96,8,8,6144,0,0.537,11441
eltwise,,,,,,,,96,8,8,6144,0,0.537,11441
pad,,,8,48,48,,,8,50,50,0,0,0.042,
conv2d,PointWise,1,128,6,6,1,1,320,6,6,1474880,42240,5.115,288344
conv2d,PointWise,1,120,7,7,1,1,120,7,7,705720,14880,2.45,288048
pad,,,192,8,8,,,192,12,12,0,0,0.03,
conv2d,PointWise,1,64,7,7,1,1,384,7,7,1204608,26112,3.027,397954
conv2d,PointWise,1,384,7,7,1,1,144,7,7,2709648,55872,8.313,325953
eltwise,,,,,,,,32,40,40,102400,64,3.379,30304
conv2d,PointWise,1,160,4,4,1,1,960,4,4,2458560,157440,6.323,388828
eltwise,,,,,,,,32,40,40,51200,0,4.504,11367
pad,,,32,40,40,,,32,42,42,0,0,0.102,
conv2d,PointWise,1,32,30,30,1,1,192,30,30,5529792,6912,16.967,325914
eltwise,,,,,,,,32,40,40,51200,0,4.482,11423
conv2d,PointWise,1,192,30,30,1,1,48,30,30,8294448,9408,17.606,471114
conv2d,PointWise,1,80,7,7,1,1,240,7,7,941040,20160,2.235,421046
conv2d,PointWise,1,240,7,7,1,1,112,7,7,1317232,27328,2.74,480741
eltwise,,,,,,,,32,40,40,51200,0,4.477,11436
eltwise,,,,,,,,32,40,40,51200,0,4.477,11436
eltwise,,,,,,,,32,40,40,51200,0,4.476,11438
eltwise,,,,,,,,32,40,40,51200,0,1.049,48808
eltwise,,,,,,,,32,40,40,51200,0,0.933,54876
conv2d,PointWise,1,64,11,11,1,1,192,11,11,1487040,13056,4.752,312929
conv2d,PointWise,1,192,11,11,1,1,64,11,11,1486912,12544,3.975,374065
conv2d,PointWise,1,128,10,10,1,1,192,10,10,2457792,25344,6.933,354506
conv2d,PointWise,1,64,7,7,1,1,384,7,7,1204608,26112,3.024,398349
eltwise,,,,,,,,32,40,40,51200,0,4.503,11370
eltwise,,,,,,,,32,40,40,51200,0,4.477,11436
eltwise,,,,,,,,32,40,40,51200,0,4.476,11438
eltwise,,,,,,,,32,40,40,51200,0,4.476,11438
pad,,,120,22,22,,,120,26,26,0,0,0.133,
conv2d,PointWise,1,384,7,7,1,1,176,7,7,3311792,68288,10.158,326027
conv2d,PointWise,1,160,14,14,1,1,256,14,14,8028416,41984,20.024,400939
pad,,,176,32,32,,,176,36,36,0,0,0.406,
conv2d,PointWise,1,96,8,8,1,1,576,8,8,3539520,57600,7.824,452392
pad,,,112,4,4,,,112,8,8,0,0,0.008,
conv2d,PointWise,1,576,8,8,1,1,128,8,8,4718720,74240,10.316,457417
conv2d,PointWise,1,72,30,30,1,1,120,30,30,7776120,9120,20.016,388495
conv2d,PointWise,1,24,14,14,1,1,144,14,14,677520,4032,2.919,232106
eltwise,,,,,,,,112,4,4,1792,0,0.159,11270
pad,,,96,24,24,,,96,26,26,0,0,0.112,
conv2d,PointWise,1,112,8,8,1,1,672,8,8,4817568,77952,10.35,465465
conv2d,PointWise,1,672,8,8,1,1,112,8,8,4817008,75712,10.537,457151
pad,,,384,16,16,,,384,22,22,0,0,0.281,
conv2d,PointWise,1,80,6,6,1,1,480,6,6,1382880,40320,3.395,407328
conv2d,PointWise,1,480,6,6,1,1,144,6,6,2488464,69696,7.723,322214
pad,,,8,96,96,,,8,98,98,0,0,0.156,
conv2d,PointWise,1,704,4,4,1,1,704,4,4,7930560,498432,18.63,425687
conv2d,PointWise,1,128,22,22,1,1,104,22,22,6443112,13728,14.874,433179
conv2d,PointWise,1,48,3,3,1,1,48,3,3,20784,2496,0.097,214268
pad,,,24,60,60,,,24,62,62,0,0,0.169,
conv2d,PointWise,1,48,10,10,1,1,144,10,10,691344,7488,1.745,396185
pad,,,120,12,12,,,120,14,14,0,0,0.035,
conv2d,PointWise,1,144,10,10,1,1,144,10,10,2073744,21312,5.746,360902
conv2d,PointWise,1,96,12,12,1,1,576,12,12,7963200,57600,17.531,454235
pad,,,64,8,8,,,64,12,12,0,0,0.011,
conv2d,PointWise,1,576,12,12,1,1,96,12,12,7962720,55680,16.901,471138
conv2d,PointWise,1,64,28,28,1,1,256,28,28,12845312,17408,32.317,397478
conv2d,PointWise,1,192,4,4,1,1,320,4,4,983360,62720,2.447,401863
conv2d,PointWise,1,32,72,72,1,1,32,72,72,5308448,1152,15.088,351832
pad,,,320,5,5,,,320,7,7,0,0,0.017,
conv2d,PointWise,1,80,32,32,1,1,240,32,32,19661040,20160,46.724,420791
conv2d,PointWise,1,240,32,32,1,1,112,32,32,27525232,27328,57.208,481143
pad,,,64,6,6,,,64,8,8,0,0,0.007,
conv2d,PointWise,1,208,16,16,1,1,128,16,16,6815872,27136,15.991,426231
conv2d,PointWise,1,128,32,32,1,1,128,32,32,16777344,16896,36.846,455336
conv2d,PointWise,1,64,48,48,1,1,192,48,48,28311744,13056,66.919,423074
conv2d,PointWise,1,192,24,24,1,1,112,24,24,12386416,21952,26.848,461353
pad,,,24,28,28,,,24,30,30,0,0,0.037,
conv2d,PointWise,1,64,32,32,1,1,192,32,32,12583104,13056,31.023,405605
conv2d,PointWise,1,192,16,16,1,1,96,16,16,4718688,18816,10.302,458036
eltwise,,,,,,,,8,28,28,6272,0,0.549,11424
conv2d,PointWise,1,80,12,12,1,1,480,12,12,5530080,40320,16.002,345586
pad,,,288,3,3,,,288,5,5,0,0,0.01,
conv2d,PointWise,1,480,12,12,1,1,144,12,12,9953424,69696,24.204,411230
conv2d,PointWise,1,352,13,13,1,1,352,13,13,20940128,125312,51.643,405478
eltwise,,,,,,,,96,3,3,864,0,0.078,11076
conv2d,PointWise,1,64,52,52,1,1,24,52,52,4153368,1632,9.815,423165
conv2d,PointWise,1,40,40,40,1,1,80,40,40,5120080,3520,15.269,335325
pad,,,168,28,28,,,168,30,30,0,0,0.292,
conv2d,PointWise,1,64,40,40,1,1,96,40,40,9830496,6528,23.607,416422
conv2d,PointWise,1,32,80,80,1,1,32,80,80,6553632,1152,18.746,349601
eltwise,,,,,,,,56,28,28,43904,0,3.844,11421
conv2d,PointWise,1,32,80,80,1,1,32,80,80,6553632,1152,18.788,348820
pad,,,128,28,28,,,128,30,30,0,0,0.201,
conv2d,PointWise,1,72,48,48,1,1,32,48,48,5308448,2432,12.982,408908
conv2d,PointWise,1,48,26,26,1,1,288,26,26,9345312,14976,25.695,363701
pad,,,88,3,3,,,88,5,5,0,0,0.004,
conv2d,PointWise,1,288,26,26,1,1,48,26,26,9345072,14016,19.857,470618
conv2d,PointWise,1,64,10,10,1,1,256,10,10,1638656,17408,3.876,422769
conv2d,PointWise,1,320,10,10,1,1,320,10,10,10240320,103680,26.494,386514
eltwise,,,,,,,,88,3,3,792,0,0.071,11154
conv2d,PointWise,1,320,10,10,1,1,320,10,10,10240320,103680,26.502,386398
conv2d,PointWise,1,128,4,4,1,1,384,4,4,786816,50688,3.404,231144
conv2d,PointWise,1,384,4,4,1,1,384,4,4,2359680,148992,9.037,261113
pad,,,24,32,32,,,24,34,34,0,0,0.049,
conv2d,PointWise,1,112,14,14,1,1,672,14,14,14752416,77952,33.047,446407
conv2d,PointWise,1,672,14,14,1,1,112,14,14,14751856,75712,34.762,424367
eltwise,,,,,,,,8,32,32,8192,0,0.717,11425
pad,,,112,13,13,,,112,15,15,0,0,0.037,
conv2d,PointWise,1,48,4,4,1,1,144,4,4,110736,7488,0.595,186110
conv2d,PointWise,1,192,6,6,1,1,256,6,6,1769728,50176,5.833,303399
conv2d,PointWise,1,120,20,20,1,1,96,20,20,4608096,11904,11.334,406572
pad,,,512,10,10,,,512,12,12,0,0,0.116,
conv2d,PointWise,1,80,24,24,1,1,240,24,24,11059440,20160,27.158,407225
conv2d,PointWise,1,240,24,24,1,1,80,24,24,11059280,19520,23.857,463565
pad,,,56,26,26,,,56,30,30,0,0,0.084,
conv2d,PointWise,1,80,4,4,1,1,240,4,4,307440,20160,0.901,341220
pad,,,40,56,56,,,40,58,58,0,0,0.316,
conv2d,PointWise,1,240,4,4,1,1,176,4,4,676016,42944,1.637,412960
conv2d,PointWise,1,24,80,80,1,1,56,80,80,8601656,1568,29.928,287411
conv2d,PointWise,1,320,2,2,1,1,320,2,2,409920,103680,1.683,243565
eltwise,,,,,,,,40,56,56,125440,0,11.037,11365
pad,,,832,9,9,,,832,15,15,0,0,0.245,
conv2d,PointWise,1,512,6,6,1,1,1024,6,6,18875392,528384,40.885,461670
pad,,,8,112,112,,,8,114,114,0,0,0.196,
conv2d,PointWise,1,96,18,18,1,1,112,18,18,3483760,11200,8.118,429140
pad,,,48,60,60,,,48,62,62,0,0,0.344,
conv2d,PointWise,1,88,16,16,1,1,264,16,16,5947656,24288,16.339,364015
conv2d,PointWise,1,264,16,16,1,1,88,16,16,5947480,23584,14.012,424456
conv2d,PointWise,1,88,2,2,1,1,528,2,2,186384,48576,1.049,177677
pad,,,16,104,104,,,16,106,106,0,0,0.328,
conv2d,PointWise,1,528,2,2,1,1,88,2,2,185944,46816,0.726,256121
conv2d,PointWise,1,160,10,10,1,1,72,10,10,1152072,11808,3.106,370918
conv2d,PointWise,1,32,28,28,1,1,104,28,28,2609256,3744,8.168,319448
pad,,,1728,3,3,,,1728,5,5,0,0,0.059,
conv2d,PointWise,1,24,20,20,1,1,72,20,20,691272,2016,2.426,284943
conv2d,PointWise,1,72,20,20,1,1,24,20,20,691224,1824,1.886,366502
eltwise,,,,,,,,288,3,3,2592,0,0.229,11318
pad,,,80,24,24,,,80,30,30,0,0,0.11,
conv2d,PointWise,1,96,4,4,1,1,576,4,4,885312,57600,2.473,357991
pad,,,112,8,8,,,112,10,10,0,0,0.014,
conv2d,PointWise,1,576,4,4,1,1,128,4,4,1179776,74240,2.723,433263
conv2d,PointWise,1,8,8,8,1,1,8,8,8,4104,96,0.048,85499
conv2d,PointWise,1,80,26,26,1,1,88,26,26,4759128,7392,11.469,414955
pad,,,72,12,12,,,72,14,14,0,0,0.02,
conv2d,PointWise,1,104,36,36,1,1,40,36,36,5391400,4320,12.544,429799
conv2d,PointWise,1,320,7,7,1,1,320,7,7,5017920,103680,15.528,323153
conv2d,PointWise,1,32,14,14,1,1,32,14,14,200736,1152,0.724,277259
pad,,,1248,3,3,,,1248,5,5,0,0,0.039,
conv2d,PointWise,1,192,8,8,1,1,576,8,8,7078464,112896,14.516,487631
conv2d,PointWise,1,576,8,8,1,1,192,8,8,7078080,111360,19.464,363649
eltwise,,,,,,,,208,3,3,1872,0,0.166,11277
conv2d,PointWise,1,192,6,6,1,1,512,6,6,3539456,100352,7.598,465840
pad,,,48,18,18,,,48,20,20,0,0,0.032,
conv2d,PointWise,1,32,28,28,1,1,192,28,28,4817088,6912,14.919,322882
conv2d,PointWise,1,192,28,28,1,1,96,28,28,14450784,18816,30.932,467179
conv2d,PointWise,1,128,10,10,1,1,768,10,10,9831168,101376,27.687,355082
pad,,,16,32,32,,,16,34,34,0,0,0.037,
conv2d,PointWise,1,768,5,5,1,1,176,5,5,3379376,135872,7.881,428800
conv2d,PointWise,1,160,7,7,1,1,72,7,7,564552,11808,1.823,309682
eltwise,,,,,,,,16,32,32,16384,0,1.437,11401
pad,,,64,14,14,,,64,16,16,0,0,0.023,
conv2d,PointWise,1,8,64,64,1,1,24,64,64,786456,288,5.154,152591
conv2d,PointWise,1,192,24,24,1,1,80,24,24,8847440,15680,19.37,456759
conv2d,PointWise,1,112,3,3,1,1,112,3,3,113008,12992,0.392,288285
conv2d,PointWise,1,96,16,16,1,1,576,16,16,14156352,57600,36.487,387983
pad,,,64,3,3,,,64,5,5,0,0,0.003,
conv2d,PointWise,1,576,16,16,1,1,112,16,16,16515184,64960,37.553,439783
conv2d,PointWise,1,192,14,14,1,1,32,14,14,1204256,6272,2.906,414403
conv2d,PointWise,1,128,5,5,1,1,768,5,5,2458368,101376,5.96,412477
eltwise,,,,,,,,64,3,3,576,0,0.052,11076
conv2d,PointWise,1,768,5,5,1,1,192,5,5,3686592,148224,8.576,429873
conv2d,PointWise,1,8,24,24,1,1,24,24,24,110616,288,0.814,135891
pad,,,80,5,5,,,80,7,7,0,0,0.006,
conv2d,PointWise,1,24,24,24,1,1,8,24,24,110600,224,0.445,248539
conv2d,PointWise,1,48,10,10,1,1,288,10,10,1382688,14976,3.481,397209
pad,,,256,3,3,,,256,5,5,0,0,0.007,
conv2d,PointWise,1,288,10,10,1,1,48,10,10,1382448,14016,3.589,385190
conv2d,PointWise,1,56,14,14,1,1,56,14,14,614712,3360,1.933,318009
pad,,,1024,15,15,,,1024,17,17,0,0,0.524,
conv2d,PointWise,1,56,14,14,1,1,56,14,14,614712,3360,1.934,317844
pad,,,320,8,8,,,320,10,10,0,0,0.043,
conv2d,PointWise,1,128,10,10,1,1,768,10,10,9831168,101376,20.803,472584
conv2d,PointWise,1,768,10,10,1,1,128,10,10,9830528,98816,21.145,464910
pad,,,48,48,48,,,48,50,50,0,0,0.214,
conv2d,PointWise,1,256,7,7,1,1,256,7,7,3211520,66560,6.659,482282
conv2d,PointWise,1,16,56,56,1,1,48,56,56,2408496,960,9.544,252357
pad,,,24,80,80,,,24,82,82,0,0,0.382,
conv2d,PointWise,1,48,56,56,1,1,48,56,56,7225392,2496,18.224,396476
conv2d,PointWise,1,144,8,8,1,1,864,8,8,7963488,127872,16.604,479612
eltwise,,,,,,,,24,80,80,153600,0,13.51,11369
pad,,,64,5,5,,,64,7,7,0,0,0.005,
conv2d,PointWise,1,864,8,8,1,1,144,8,8,7962768,124992,17.524,454392
conv2d,PointWise,1,96,22,22,1,1,120,22,22,5575800,12000,13.407,415887
conv2d,PointWise,1,80,32,32,1,1,128,32,32,10485888,10752,25.212,415908
conv2d,PointWise,1,128,24,24,1,1,104,24,24,7667816,13728,17.459,439189
pad,,,8,6,6,,,8,8,8,0,0,0.003,
conv2d,PointWise,1,80,8,8,1,1,480,8,8,2458080,40320,8.123,302607
conv2d,PointWise,1,480,8,8,1,1,144,8,8,4423824,69696,12.167,363592
conv2d,PointWise,1,128,7,7,1,1,768,7,7,4817664,101376,10.631,453171
eltwise,,,,,,,,8,6,6,288,0,0.027,10666
pad,,,576,12,12,,,576,18,18,0,0,0.262,
conv2d,PointWise,1,768,7,7,1,1,192,7,7,7225536,148224,16.219,445498
conv2d,PointWise,1,96,12,12,1,1,576,12,12,7963200,57600,22.121,359983
pad,,,384,24,24,,,384,28,28,0,0,0.523,
conv2d,PointWise,1,576,12,12,1,1,96,12,12,7962720,55680,19.282,412961
conv2d,PointWise,1,128,10,10,1,1,512,10,10,6554112,67584,13.535,484234
conv2d,PointWise,1,64,3,3,1,1,192,3,3,110784,13056,0.456,242947
pad,,,768,4,4,,,768,6,6,0,0,0.041,
conv2d,PointWise,1,208,14,14,1,1,208,14,14,8479952,44096,20.524,413172
conv2d,PointWise,1,208,14,14,1,1,208,14,14,8479952,44096,20.532,413011
eltwise,,,,,,,,128,4,4,2048,0,0.181,11314
pad,,,384,22,22,,,384,28,28,0,0,0.489,
conv2d,PointWise,1,80,32,32,1,1,96,32,32,7864416,8064,18.551,423934
pad,,,96,16,16,,,96,18,18,0,0,0.048,
conv2d,PointWise,1,192,8,8,1,1,384,8,8,4718976,75264,13.785,342326
conv2d,PointWise,1,96,16,16,1,1,576,16,16,14156352,57600,36.505,387792
pad,,,144,10,10,,,144,12,12,0,0,0.033,
conv2d,PointWise,1,576,8,8,1,1,96,8,8,3539040,55680,7.722,458306
conv2d,PointWise,1,32,32,32,1,1,48,32,32,1572912,1728,4.844,324713
conv2d,PointWise,1,8,80,80,1,1,8,80,80,409608,96,2.572,159256
eltwise,,,,,,,,144,10,10,14400,0,1.262,11410
pad,,,48,88,88,,,48,90,90,0,0,0.708,
conv2d,PointWise,1,8,80,80,1,1,48,80,80,2457648,576,15.655,156988
conv2d,PointWise,1,64,16,16,1,1,384,16,16,6291840,26112,14.803,425038
pad,,,24,32,32,,,24,34,34,0,0,0.065,
conv2d,PointWise,1,384,16,16,1,1,64,16,16,6291520,24832,13.305,472868
conv2d,PointWise,1,64,28,28,1,1,384,28,28,19267968,26112,48.706,395597
conv2d,PointWise,1,384,28,28,1,1,128,28,28,38535296,49664,80.722,477382
eltwise,,,,,,,,24,32,32,24576,0,2.15,11430
conv2d,PointWise,1,72,16,16,1,1,72,16,16,1327176,5472,3.349,396290
pad,,,56,28,28,,,56,30,30,0,0,0.117,
conv2d,PointWise,1,72,16,16,1,1,72,16,16,1327176,5472,3.354,395699
conv2d,PointWise,1,72,16,16,1,1,72,16,16,1327176,5472,3.348,396408
conv2d,PointWise,1,72,16,16,1,1,72,16,16,1327176,5472,3.348,396408
eltwise,,,,,,,,56,28,28,43904,0,3.838,11439
conv2d,PointWise,1,72,16,16,1,1,72,16,16,1327176,5472,3.767,352316
pad,,,16,20,20,,,16,22,22,0,0,0.013,
conv2d,PointWise,1,96,28,28,1,1,96,28,28,7225440,9600,16.686,433024
conv2d,PointWise,1,96,4,4,1,1,576,4,4,885312,57600,2.484,356405
conv2d,PointWise,1,576,4,4,1,1,128,4,4,1179776,74240,2.734,431520
eltwise,,,,,,,,16,20,20,6400,0,0.558,11469
conv2d,PointWise,1,120,5,5,1,1,360,5,5,1080360,44640,2.779,388758
pad,,,288,32,32,,,288,36,36,0,0,0.674,
conv2d,PointWise,1,360,5,5,1,1,120,5,5,1080120,43680,2.433,443945
conv2d,PointWise,1,112,20,20,1,1,160,20,20,7168160,18560,17.251,415521
conv2d,PointWise,1,256,8,8,1,1,256,8,8,4194560,66560,8.674,483578
pad,,,176,28,28,,,176,32,32,0,0,0.315,
conv2d,PointWise,1,56,28,28,1,1,120,28,28,5268600,7200,14.549,362127
pad,,,896,10,10,,,896,14,14,0,0,0.26,
conv2d,PointWise,1,16,3,3,1,1,16,3,3,2320,320,0.023,100869
pad,,,240,2,2,,,240,4,4,0,0,0.005,
conv2d,PointWise,1,88,4,4,1,1,528,4,4,743952,48576,2.22,335113
conv2d,PointWise,1,528,4,4,1,1,88,4,4,743512,46816,1.729,430024
conv2d,PointWise,1,384,2,2,1,1,1152,2,2,1770624,446976,7.086,249876
eltwise,,,,,,,,240,2,2,960,0,0.086,11162
pad,,,128,12,12,,,128,16,16,0,0,0.042,
conv2d,PointWise,1,1152,2,2,1,1,384,2,2,1769856,443904,6.794,260502
conv2d,PointWise,1,144,18,18,1,1,160,18,18,7465120,23680,17.686,422092
conv2d,PointWise,1,128,6,6,1,1,128,6,6,589952,16896,1.326,444911
pad,,,64,3,3,,,64,7,7,0,0,0.004,
conv2d,PointWise,1,192,20,20,1,1,128,20,20,9830528,25088,22.27,441424
conv2d,PointWise,1,128,8,8,1,1,128,8,8,1048704,16896,2.235,469218
conv2d,PointWise,1,128,8,8,1,1,128,8,8,1048704,16896,2.234,469428
eltwise,,,,,,,,64,3,3,576,0,0.053,10867
conv2d,PointWise,1,128,8,8,1,1,128,8,8,1048704,16896,2.233,469639
pad,,,16,40,40,,,16,42,42,0,0,0.054,
conv2d,PointWise,1,128,8,8,1,1,128,8,8,1048704,16896,2.231,470060
conv2d,PointWise,1,128,8,8,1,1,128,8,8,1048704,16896,3.17,330821
pad,,,80,12,12,,,80,14,14,0,0,0.022,
conv2d,PointWise,1,128,24,24,1,1,128,24,24,9437312,16896,21.481,439332
conv2d,PointWise,1,192,14,14,1,1,192,14,14,7225536,37632,17.684,408591
conv2d,PointWise,1,56,28,28,1,1,64,28,28,2809920,3840,7.806,359969
pad,,,96,6,6,,,96,8,8,0,0,0.008,
conv2d,PointWise,1,64,10,10,1,1,96,10,10,614496,6528,1.434,428518
conv2d,PointWise,1,224,16,16,1,1,224,16,16,12845280,51072,27.842,461363
conv2d,PointWise,1,224,16,16,1,1,224,16,16,12845280,51072,27.815,461811
pad,,,224,18,18,,,224,22,22,0,0,0.177,
conv2d,PointWise,1,224,16,16,1,1,224,16,16,12845280,51072,27.813,461844
pad,,,48,20,20,,,48,22,22,0,0,0.037,
conv2d,PointWise,1,224,16,16,1,1,224,16,16,12845280,51072,27.831,461545
conv2d,PointWise,1,224,16,16,1,1,224,16,16,12845280,51072,30.068,427207
conv2d,PointWise,1,256,7,7,1,1,256,7,7,3211520,66560,6.637,483881
pad,,,128,5,5,,,128,7,7,0,0,0.008,
conv2d,PointWise,1,256,7,7,1,1,256,7,7,3211520,66560,6.643,483444
conv2d,PointWise,1,416,2,2,1,1,416,2,2,692640,174720,2.747,252144
conv2d,PointWise,1,16,40,40,1,1,80,40,40,2048080,1600,7.948,257684
pad,,,96,7,7,,,96,9,9,0,0,0.01,
conv2d,PointWise,1,48,20,20,1,1,160,20,20,3072160,8320,8.756,350863
conv2d,PointWise,1,88,12,12,1,1,528,12,12,6691344,48576,15.467,432620
eltwise,,,,,,,,16,7,7,784,0,0.07,11199
conv2d,PointWise,1,528,12,12,1,1,88,12,12,6690904,46816,13.998,477989
pad,,,576,12,12,,,576,14,14,0,0,0.189,
conv2d,PointWise,1,8,112,112,1,1,16,112,112,1605648,192,10.225,157031
conv2d,PointWise,1,88,30,30,1,1,72,30,30,5702472,6624,13.899,410279
pad,,,96,3,3,,,96,5,5,0,0,0.004,
conv2d,PointWise,1,96,10,10,1,1,192,10,10,1843392,19200,5.419,340171
conv2d,PointWise,1,96,14,14,1,1,288,14,14,5419296,28800,14.484,374157
conv2d,PointWise,1,288,14,14,1,1,96,14,14,5419104,28032,12.892,420346
eltwise,,,,,,,,96,3,3,864,0,0.078,11076
conv2d,PointWise,1,256,6,6,1,1,768,6,6,7078656,199680,22.837,309964
pad,,,72,32,32,,,72,36,36,0,0,0.157,
conv2d,PointWise,1,768,6,6,1,1,256,6,6,7078144,197632,21.995,321806
pad,,,24,4,4,,,24,6,6,0,0,0.003,
conv2d,PointWise,1,128,5,5,1,1,768,5,5,2458368,101376,5.964,412201
conv2d,PointWise,1,768,5,5,1,1,192,5,5,3686592,148224,8.58,429672
conv2d,PointWise,1,176,12,12,1,1,176,12,12,4460720,31680,9.72,458921
eltwise,,,,,,,,24,4,4,384,0,0.035,10971
eltwise,,,,,,,,176,7,7,17248,352,0.274,62948
conv2d,PointWise,1,176,12,12,1,1,176,12,12,4460720,31680,9.719,458969
eltwise,,,,,,,,176,7,7,8624,0,0.756,11407
pad,,,176,7,7,,,176,9,9,0,0,0.023,
conv2d,PointWise,1,176,12,12,1,1,176,12,12,4460720,31680,9.714,459205
eltwise,,,,,,,,176,7,7,8624,0,0.756,11407
conv2d,PointWise,1,176,12,12,1,1,176,12,12,4460720,31680,9.722,458827
conv2d,PointWise,1,176,12,12,1,1,176,12,12,4460720,31680,11.478,388632
conv2d,PointWise,1,16,104,104,1,1,24,104,104,4153368,480,15.144,274258
eltwise,,,,,,,,176,7,7,8624,0,0.755,11422
eltwise,,,,,,,,176,7,7,8624,0,0.752,11468
eltwise,,,,,,,,176,7,7,8624,0,0.754,11437
eltwise,,,,,,,,176,7,7,8624,0,0.171,50432
eltwise,,,,,,,,176,7,7,8624,0,0.157,54929
conv2d,PointWise,1,32,22,22,1,1,96,22,22,1486944,3456,4.496,330725
conv2d,PointWise,1,96,22,22,1,1,128,22,22,5947520,12800,14.356,414288
conv2d,PointWise,1,112,5,5,1,1,336,5,5,941136,38976,2.346,401166
conv2d,PointWise,1,336,5,5,1,1,128,5,5,1075328,43520,2.372,453342
eltwise,,,,,,,,176,7,7,8624,0,0.759,11362
eltwise,,,,,,,,176,7,7,8624,0,0.753,11452
eltwise,,,,,,,,176,7,7,8624,0,0.753,11452
eltwise,,,,,,,,176,7,7,8624,0,0.755,11422
pad,,,144,28,28,,,144,30,30,0,0,0.226,
conv2d,PointWise,1,32,40,40,1,1,80,40,40,4096080,2880,12.148,337181
pad,,,320,11,11,,,320,15,15,0,0,0.103,
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.01,400914
pad,,,96,10,10,,,96,12,12,0,0,0.017,
conv2d,PointWise,1,112,4,4,1,1,112,4,4,200816,12992,0.555,361830
conv2d,PointWise,1,112,4,4,1,1,112,4,4,200816,12992,0.552,363797
conv2d,PointWise,1,112,4,4,1,1,112,4,4,200816,12992,0.551,364457
pad,,,832,11,11,,,832,13,13,0,0,0.235,
conv2d,PointWise,1,112,4,4,1,1,112,4,4,200816,12992,0.551,364457
pad,,,256,6,6,,,256,8,8,0,0,0.019,
conv2d,PointWise,1,112,4,4,1,1,112,4,4,200816,12992,0.551,364457
conv2d,PointWise,1,8,32,32,1,1,32,32,32,262176,384,1.836,142797
pad,,,352,32,32,,,352,36,36,0,0,0.826,
conv2d,PointWise,1,112,14,14,1,1,672,14,14,14752416,77952,38.323,384949
pad,,,16,80,80,,,16,84,84,0,0,0.211,
conv2d,PointWise,1,672,14,14,1,1,112,14,14,14751856,75712,34.741,424623
pad,,,528,14,14,,,528,16,16,0,0,0.213,
conv2d,PointWise,1,240,20,20,1,1,104,20,20,9984104,25376,22.176,450221
pad,,,32,16,16,,,32,18,18,0,0,0.016,
conv2d,PointWise,1,40,30,30,1,1,72,30,30,2592072,3168,8.083,320681
conv2d,PointWise,1,96,12,12,1,1,96,12,12,1327200,9600,2.937,451889
pad,,,96,3,3,,,96,5,5,0,0,0.004,
conv2d,PointWise,1,96,12,12,1,1,96,12,12,1327200,9600,2.933,452505
conv2d,PointWise,1,96,12,12,1,1,96,12,12,1327200,9600,2.929,453123
conv2d,PointWise,1,96,12,12,1,1,96,12,12,1327200,9600,2.925,453743
eltwise,,,,,,,,96,3,3,864,0,0.078,11076
pad,,,48,7,7,,,48,9,9,0,0,0.006,
conv2d,PointWise,1,96,12,12,1,1,96,12,12,1327200,9600,3.64,364615
conv2d,PointWise,1,144,7,7,1,1,432,7,7,3048624,63936,6.561,464658
eltwise,,,,,,,,48,7,7,2352,0,0.205,11473
pad,,,80,5,5,,,80,7,7,0,0,0.006,
conv2d,PointWise,1,432,7,7,1,1,144,7,7,3048336,62784,6.561,464614
conv2d,PointWise,1,256,2,2,1,1,1536,2,2,1574400,399360,6.613,238076
conv2d,PointWise,1,1536,2,2,1,1,256,2,2,1573120,394240,6.149,255833
eltwise,,,,,,,,80,5,5,2000,0,0.176,11363
conv2d,PointWise,1,24,48,48,1,1,96,48,48,5308512,2688,19.147,277250
pad,,,352,5,5,,,352,7,7,0,0,0.02,
conv2d,PointWise,1,64,14,14,1,1,384,14,14,4817280,26112,14.028,343404
conv2d,PointWise,1,384,14,14,1,1,80,14,14,6021200,31040,14.364,419186
eltwise,,,,,,,,352,5,5,8800,0,0.772,11398
pad,,,120,24,24,,,120,26,26,0,0,0.181,
conv2d,PointWise,1,176,24,24,1,1,80,24,24,8110160,14400,17.928,452373
conv2d,PointWise,1,128,2,2,1,1,768,2,2,393984,101376,1.902,207141
eltwise,,,,,,,,120,24,24,69120,0,6.081,11366
conv2d,PointWise,1,768,2,2,1,1,128,2,2,393344,98816,1.507,261011
pad,,,384,12,12,,,384,16,16,0,0,0.149,
conv2d,PointWise,1,64,14,14,1,1,128,14,14,1605760,8704,3.755,427632
conv2d,PointWise,1,32,14,14,1,1,72,14,14,451656,2592,1.607,281055
conv2d,PointWise,1,128,10,10,1,1,768,10,10,9831168,101376,20.469,480295
pad,,,32,32,32,,,32,36,36,0,0,0.07,
