type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
eltwise,,,,,,,,384,5,5,9600,0,0.842,11401
pad,,,384,5,5,,,384,7,7,0,0,0.026,
conv2d,PointWise,1,480,10,10,1,1,112,10,10,5376112,54208,13.745,391132
eltwise,,,,,,,,384,5,5,9600,0,0.841,11414
conv2d,PointWise,1,72,8,8,1,1,416,8,8,1917344,31616,6.845,280108
conv2d,PointWise,1,56,60,60,1,1,32,60,60,6451232,1920,16.64,387694
conv2d,PointWise,1,72,7,7,1,1,448,7,7,1580992,34048,6.251,252918
eltwise,,,,,,,,384,5,5,9600,0,0.841,11414
eltwise,,,,,,,,384,5,5,9600,0,0.84,11428
eltwise,,,,,,,,384,5,5,9600,0,0.841,11414
eltwise,,,,,,,,384,5,5,9600,0,0.193,49740
eltwise,,,,,,,,384,5,5,9600,0,0.173,55491
conv2d,PointWise,1,512,4,4,1,1,1024,4,4,8389632,528384,31.71,264573
conv2d,PointWise,1,96,12,12,1,1,288,12,12,3981600,28800,11.046,360456
conv2d,PointWise,1,288,12,12,1,1,96,12,12,3981408,28032,9.819,405479
conv2d,PointWise,1,96,24,24,1,1,192,24,24,10617024,19200,25.341,418966
eltwise,,,,,,,,384,5,5,9600,0,0.845,11360
eltwise,,,,,,,,384,5,5,9600,0,0.841,11414
eltwise,,,,,,,,384,5,5,9600,0,0.841,11414
eltwise,,,,,,,,384,5,5,9600,0,0.84,11428
pad,,,768,11,11,,,768,15,15,0,0,0.259,
conv2d,PointWise,1,48,30,30,1,1,144,30,30,6220944,7488,16.62,374304
conv2d,PointWise,1,144,30,30,1,1,80,30,30,10368080,11840,22.552,459741
pad,,,64,48,48,,,64,52,52,0,0,0.393,
conv2d,PointWise,1,96,6,6,1,1,288,6,6,995616,28800,2.347,424207
conv2d,PointWise,1,288,6,6,1,1,112,6,6,1161328,32704,2.411,481678
conv2d,PointWise,1,240,14,14,1,1,208,14,14,9784528,50752,23.449,417268
pad,,,224,5,5,,,224,7,7,0,0,0.012,
conv2d,PointWise,1,80,60,60,1,1,16,60,60,4608016,1344,10.355,445003
conv2d,PointWise,1,104,7,7,1,1,624,7,7,3180528,67392,7.453,426744
conv2d,PointWise,1,624,7,7,1,1,104,7,7,3180008,65312,6.993,454741
eltwise,,,,,,,,224,5,5,5600,0,0.492,11382
pad,,,96,14,14,,,96,16,16,0,0,0.036,
conv2d,PointWise,1,16,48,48,1,1,80,48,48,2949200,1600,11.233,262547
conv2d,PointWise,1,16,48,48,1,1,96,48,48,3539040,1920,14.098,251031
conv2d,PointWise,1,96,48,48,1,1,16,48,48,3538960,1600,7.829,452032
