config,c_in,h_in,w_in,reduction,flops,params (Bytes),SRAM (Bytes),latency (ms)
SE_C_224_H_3,224,3,3,4,"29,624","26,212",4760,0.86
SE_C_40_H_10,40,10,10,4,"9,376","1,508",4520,0.835
SE_C_16_H_16,16,16,16,4,8488,356,4312,0.832
SE_C_128_H_5,128,5,5,4,"14,880","8,836",4768,0.827
SE_C_96_H_6,96,6,6,4,"11,736","5,092",4632,0.812
SE_C_208_H_3,208,3,3,4,"27,512","24,356",4440,0.806
SE_C_72_H_7,72,7,7,4,"10,680","3,844",4440,0.795
SE_C_160_H_4,160,4,4,4,"18,280","13,604",4520,0.78
SE_C_120_H_5,120,5,5,4,"13,952","8,292",4480,0.776
SE_C_56_H_8,56,8,8,4,"9,088","2,084",4280,0.771
SE_C_256_H_2,256,2,2,4,"35,392","34,052",4160,0.771
SE_C_88_H_6,88,6,6,4,"10,760","4,676",4256,0.746
SE_C_112_H_5,112,5,5,4,"13,024","7,748",4192,0.725
SE_C_24_H_12,24,12,12,4,7352,516,3760,0.71
SE_C_144_H_4,144,4,4,4,"16,456","12,260",4088,0.706
SE_C_192_H_3,192,3,3,4,"22,320","19,396",4080,0.701
SE_C_64_H_7,64,7,7,4,"8,464","2,372",3920,0.693
SE_C_80_H_6,80,6,6,4,"9,784","4,260",3880,0.68
SE_C_8_H_20,8,20,20,4,6552,196,3328,0.666
SE_C_32_H_10,32,10,10,4,6984,676,3592,0.665
SE_C_48_H_8,48,8,8,4,"7,792","1,796",3680,0.664
SE_C_104_H_5,104,5,5,4,"10,424","5,508",3864,0.657
SE_C_176_H_3,176,3,3,4,"20,464","17,796",3760,0.647
SE_C_16_H_14,16,14,14,4,6568,356,3352,0.645
SE_C_72_H_6,72,6,6,4,"8,808","3,844",3504,0.615
SE_C_56_H_7,56,7,7,4,"7,408","2,084",3440,0.61
SE_C_96_H_5,96,5,5,4,"9,624","5,092",3576,0.609
SE_C_128_H_4,128,4,4,4,"12,576","8,836",3616,0.605
SE_C_120_H_4,120,4,4,4,"11,792","8,292",3400,0.569
SE_C_160_H_3,160,3,3,4,"16,040","13,604",3400,0.564
SE_C_88_H_5,88,5,5,4,"8,824","4,676",3288,0.559
SE_C_40_H_8,40,8,8,4,"6,496","1,508",3080,0.559
SE_C_112_H_4,112,4,4,4,"11,008","7,748",3184,0.533
SE_C_64_H_6,64,6,6,4,"6,800","2,372",3088,0.533
SE_C_48_H_7,48,7,7,4,"6,352","1,796",2960,0.527
SE_C_144_H_3,144,3,3,4,"14,440","12,260",3080,0.511
SE_C_80_H_5,80,5,5,4,"8,024","4,260",3000,0.511
SE_C_24_H_10,24,10,10,4,5240,516,2704,0.506
SE_C_16_H_12,16,12,12,4,4904,356,2520,0.483
SE_C_104_H_4,104,4,4,4,"8,552","5,508",2928,0.477
SE_C_56_H_6,56,6,6,4,"5,952","2,084",2712,0.471
SE_C_72_H_5,72,5,5,4,"7,224","3,844",2712,0.463
SE_C_32_H_8,32,8,8,4,4680,676,2440,0.444
SE_C_40_H_7,40,7,7,4,"5,296","1,508",2480,0.443
SE_C_96_H_4,96,4,4,4,"7,896","5,092",2712,0.441
SE_C_8_H_16,8,16,16,4,4248,196,2176,0.436
SE_C_128_H_3,128,3,3,4,"10,784","8,836",2720,0.43
SE_C_88_H_4,88,4,4,4,"7,240","4,676",2496,0.407
SE_C_48_H_6,48,6,6,4,"5,104","1,796",2336,0.406
SE_C_120_H_3,120,3,3,4,"10,112","8,292",2560,0.405
SE_C_64_H_5,64,5,5,4,"5,392","2,372",2384,0.398
SE_C_112_H_3,112,3,3,4,"9,440","7,748",2400,0.379
SE_C_80_H_4,80,4,4,4,"6,584","4,260",2280,0.373
SE_C_56_H_5,56,5,5,4,"4,720","2,084",2096,0.352
SE_C_32_H_7,32,7,7,4,3720,676,1960,0.351
SE_C_16_H_10,16,10,10,4,3496,356,1816,0.347
SE_C_40_H_6,40,6,6,4,"4,256","1,508",1960,0.343
SE_C_8_H_14,8,14,14,4,3288,196,1696,0.34
SE_C_24_H_8,24,8,8,4,3512,516,1840,0.339
SE_C_72_H_4,72,4,4,4,"5,928","3,844",2064,0.338
SE_C_48_H_5,48,5,5,4,"4,048","1,796",1808,0.305
SE_C_64_H_4,64,4,4,4,"4,240","2,372",1808,0.287
SE_C_32_H_6,32,6,6,4,2888,676,1544,0.271
SE_C_24_H_7,24,7,7,4,2792,516,1480,0.27
SE_C_40_H_5,40,5,5,4,"3,376","1,508",1520,0.258
SE_C_8_H_12,8,12,12,4,2456,196,1280,0.257
SE_C_16_H_8,16,8,8,4,2344,356,1240,0.234
